username,numPosts,numFollowers,numFollowing
MrIncredible,229,487,13
Markit,25,113,94
arpan312,212,6,36
moonpie,30,8,48
Icarus,4621,101,57
lcparodi,496,62,2
PIPSQUAD,146,47,8
NewMoney,1550,44,70
profile12345,26,17,20
zenvesting,1022,44,3
heythere,3987,245,7
Osborne820,15376,520,9
Manueltraderfx,11,9,37
proacttraders,1223,93,0
MicroSwing,2322,172,46
BuffTrader,201,8,10
ttester,65,18,26
danravicher,971,409,17
bronxterp,22,34,1
chet_stedman32,584,79,9
ADSSRus,66,11,44
markmanadvisors,32,60,0
RobotTraders,576,15,34
Tesladude,998,54,161
WeeklyOptionTrades,732,268,79
prognolic,1303,269,110
PTTResearch,294,241,77
KahaKrikheli,286,11,6
sgornick,10,18,20
UpUpAway,1449,37,45
mikerock1973,1381,12,2
lovetrading,1775,16,12
carpeDiem2,195,59,16
Make_Markets,6,12,6
g_underwood,2213,133,0
thia999,41,6,18
vzen,79,70,18
macheterosforvr,9610,87,2
AmericanPsycho,13,12,35
matthewcurran,55,159,41
sonofabach,2493,64,33
goodlett,10,17,3
allnick,62,129,28
zed12,195,25,71
PigsOfWallSt,599,36,134
marcusnelson,7,87,48
kant,5,31,4
lancewalley,14,33,7
alexkim,6,22,18
lookin4cash,940,18,26
Denrael,7,47,4
jggary,139,56,23
Thesavvyinvestor,372,12,80
StockMarketVideo,9,80,0
SeaendCapital,390,9,4
johnsgilbert,875,128,328
trademytradesdotcom,166,90,56
InvestieCompEarnings,5660,4728,60
michaelwhere,12,56,1
FlashRatings,1568,15309,7
IVtrades,441,93,42
josh_greene,40,17,101
FlashRatingsACTIVES,24395,459,1
Caer,334,46,5
rickalter,1144,48,14
TradingForLife2014,1240,111,10
Rob_Hager,9,97,8
SHFL_News,300,70,10
MrMarketFan,1523,3826,46
MountainVision,9,56,42
BrianMizok,768,7,0
aryheen,308,20,20
ibtimesau,41,23,10
dumornay,345,74,40
VisaNews,6,135,18
mrennie,67,9,5
DangerZone,170,16,51
sub5mango,23,130,132
tcor0328,268,9,27
saprodani,197,17,0
AriadneWealthAdvisors,657,332,4
cocoy,15,66,23
Series7Seeker,320,10,37
Credit_Dauphine,17,24,25
Sarge986,1435,254,31
SteelCahones,2630,72,15
fred__garza,7,44,13
Jim_Cook,850,15,23
BTV,12,28,27
SuzieQ,87,70,51
Options_Weekly,548,86,60
DoomRaider,600,21,2
AncientEvil,1423,19,4
troystocks,66,48,0
SwatOptions,631,480,66
BNGESG,363,68,1
PlungeTeam,6,30,1
Velvetcrowbar,6535,5054,106
JerseyTrader,1310,41,36
Banksy,1035,26,7
TSLAfanboy,833,10,15
809trader,3087,232,7
rtorcato,17,17,0
subs756,630,9,2
nycspeeder,3432,328,42
dakotahnorth,986,32,12
AOT_Apple_Option_Trader,518,26,51
ralexco,244,32,66
sbais,4517,76,34
Necer149,2165,100,21
PiriPiri,64,44,31
jeradstarr5,1100,48,25
Willtrades,790,9,7
Avida_Trading_Group,7092,734,20
BIGplayer,1243,22,49
NxtMill,4116,74,62
Pay_the_Man,3487,190,37
Orioles,1952,95,40
Jmgirman,31,5,8
Sixth_Sense,7750,601,14
tankertoad,848,15,11
Gowhitestripes,1059,22,22
Rtc1970,1094,18,10
Marystu,372,24,4
moneyheaven,713,74,30
TimLento,22,133,38
MacCBOE,957,77,90
Ted_Nugent,401,49,7
flabeach321,5159,30,27
KwBCapital,338,26,106
ItsTheDude,694,30,18
CroJoe,538,14,31
Gordon_Gekko79,703,16,33
robwilmink,19,25,9
PumptyDumpty,1585,35,8
TrentonBay,4906,104,8
Ryohkyo,1328,9,26
Mdevics,442,8,15
